Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
WC - Central Karoo District Municipality (DC5),Female,50-54,1560,1576,1596,1623,1662,1715,1770,1821,1857,1874,1874,1862,1853,1862,1863
WC - Central Karoo District Municipality (DC5),Female,55-59,1335,1348,1365,1388,1416,1447,1476,1504,1536,1572,1606,1646,1687,1722,1762
WC - Central Karoo District Municipality (DC5),Female,60-64,1075,1098,1124,1152,1181,1211,1236,1260,1284,1308,1332,1354,1377,1404,1429
WC - Central Karoo District Municipality (DC5),Female,65-69,771,798,827,857,890,926,960,990,1018,1043,1070,1097,1124,1151,1180
WC - Central Karoo District Municipality (DC5),Female,70-74,479,500,525,552,580,611,643,674,704,733,769,803,837,868,906
WC - Central Karoo District Municipality (DC5),Female,75-79,329,318,312,313,322,340,358,377,398,421,454,488,522,557,596
WC - Central Karoo District Municipality (DC5),Female,80+,307,317,328,341,355,363,371,379,387,396,415,436,457,480,502
WC - City of Cape Town Metropolitan Municipality,Male,0-4,170326,171338,171768,171957,172267,171868,172012,172943,174727,176962,178185,179706,180485,180956,182230
WC - City of Cape Town Metropolitan Municipality,Male,5-9,156955,158957,161530,164200,166061,167429,168230,168467,168678,169623,170963,172180,173749,175567,176979
WC - City of Cape Town Metropolitan Municipality,Male,10-14,152614,153054,153702,154611,155735,157486,159543,161741,163614,164583,165415,165891,166477,167589,168396
WC - City of Cape Town Metropolitan Municipality,Male,15-19,140009,144791,149598,154599,154154,155326,156096,156389,156436,156649,158844,161411,163647,164998,166768
WC - City of Cape Town Metropolitan Municipality,Male,20-24,141800,140946,140061,138993,143868,148303,152876,157979,163902,164546,165058,165451,166102,167166,167827
WC - City of Cape Town Metropolitan Municipality,Male,25-29,143865,145212,146534,147651,148416,148732,148691,148201,147211,152552,157785,163273,169321,176091,182514
WC - City of Cape Town Metropolitan Municipality,Male,30-34,137327,138984,140441,141877,143590,145481,147556,149594,151325,152572,153412,153862,153972,153673,154148
WC - City of Cape Town Metropolitan Municipality,Male,35-39,122167,124971,127443,129581,131816,134043,136335,138649,140871,143019,145158,147490,149996,152314,154712
